Set	Id	Type	Title	Power	VP	Rarity	When	Before	From	Where	Choose	Dest	After	Text
OmegaCodex	001	Creature	Vix	1	1	Variant								Skill: Team-Up
OmegaCodex	002	Creature	Jater	1	1	Common								Skill: Sneak 4
OmegaCodex	003	Creature	Luminate	1	3	Variant	P	MT > H						Skill: Team-Up\nPlay: Draw a card.
OmegaCodex	004	Creature	Budge	1	1	Rare	H		ES			B		Bonus: If this card is Harvested, move a card from your opponent's score pile to the bottom of its owner's deck. 
OmegaCodex	005	Creature	Tessa	2	1	Variant								Skill: Team-Up
OmegaCodex	006	Creature	Dark Velum	2	1	Common								Skill: Sneak 6
OmegaCodex	007	Creature	Drixel	2	2	Rare	P		AL	V < 1	1	H		Play: Move a Creature worth 0 VP or less to its owner's hand.
OmegaCodex	008	Creature	Terrible Jack	2	2	Rare	P		EL	P < 6	1	H		Play: Move an enemy Creature with Power 5 or less to its owner's hand.
OmegaCodex	009	Creature	Roxxy	3	1	Variant								Skill: Team-Up
OmegaCodex	010	Creature	Parasite	3	1	Rare								During your opponent's "Draw Cards" step, they refill their hand to 1 less card.
OmegaCodex	011	Creature	Moth	2	-1	Common	P		EL		1		X @D	Play: Rotate an enemy Creature to Dormant.
OmegaCodex	012	Creature	Proud Mama	3	1	Common	B		EL		1		X @M	Bonus: Rotate an enemy Creature to Mature.
OmegaCodex	013	Creature	Taco	3	1	Rare	H		MS		1	H		Bonus: If this card is Harvested, move a card from your score pile to the top of its owner's deck. 
OmegaCodex	014	Creature	Yearn	4	1	Variant								Skill: Team-Up
OmegaCodex	015	Creature	Pokets	4	1	Common								Skill: Sneak 9
OmegaCodex	016	Creature	Sticky Gemma	4	1	Rare	P		EL	V min	1	MS		Play: Move the least valuable enemy Creature to your score pile.
OmegaCodex	017	Creature	Tiny the Tosser	4	2	Common	B		MS	V max	1	ES		Bonus: Move the most valuable card in your score pile to your opponent's score pile.
OmegaCodex	018	Creature	Deep Carl	4	1	Common	P	QP B						Play: Play the bottom card of your deck.
OmegaCodex	019	Creature	Vile Chap	4	1	Rare	B		AR			D		Bonus: Move all Relics to their owner's discard pile.
OmegaCodex	020	Creature	Anox	5	1	Variant								Skill: Team-Up
OmegaCodex	021	Creature	Millipede	5	1	Common								Skill: Sneak 10
OmegaCodex	022	Creature	Brother Bear	5	1	Common								Skill: Bear Hug
OmegaCodex	023	Creature	Stubborn Thorn	5	2	Rare								This card cannot be Harvested.
OmegaCodex	024	Creature	Crazy Larry	5	2	Rare	P		MT		1	ES		Play: Move the top card of your deck to your opponent's score pile.
OmegaCodex	025	Creature	Silence Enforcer	5	2	Common								If this card is Active, your opponent can only play Creatures.
OmegaCodex	026	Creature	Payday	6	1	Common	B	MT > H						Bonus: Draw a card.
OmegaCodex	027	Creature	Bejewel	6	-1	Common								During your "Draw Cards" step, refill your hand to 1 additional card.
OmegaCodex	028	Creature	Gregory Illinivich	6	3	Linked								Skill: Sneak 11 This card can only fight Dormant Creatures.
OmegaCodex	029	Creature	Pinwheel	6	2	Common	B		AL		1		X @	Bonus: Rotate a card to a different state.
OmegaCodex	030	Creature	Bamphf	6	1	Common	H	QP						Bonus: If this card is Harvested, play the top card of your deck.
OmegaCodex	031	Creature	Vile Bear	6	-2	Rare								Skill: Bear Hug
OmegaCodex	032	Creature	Bigfoot Carl	6	2	Rare	B		AL	P < 4		D		Bonus: Move Creatures with Power 3 or less to their owner's discard piles.
OmegaCodex	033	Creature	Turp	7	1	Rare	P	2x(MT > H)	MH		1	D		Play: Draw 2 cards. Discard a card.
OmegaCodex	034	Creature	The Auditor	7	1	Common	P	R OH	EH	P min	1	ES		Play: Your opponent reveals their hand. Move the least powerful Creature revealed this way to their score pile.
OmegaCodex	035	Creature	Yewcha	7	1	Rare								Skill: Bear Hug
OmegaCodex	036	Creature	Tede Scrapper	7	1	Common	B		ES		1	D		Bonus: Move a card from your opponent's score pile to its owner's discard pile.
OmegaCodex	037	Creature	Trophy Master	7	2	Common	B	MAY	MS		1	H		Bonus: You may move a card from your score pile to its owner's hand. 
OmegaCodex	038	Creature	Vanx	7	2	Common	B		MD		1	H		Bonus: Move a card from your discard pile to its owner's hand. 
OmegaCodex	039	Creature	Tujok	7	3	Rare	P	MAY	ES		1	H		Play: You may move a card from your opponent's score pile to its owner's hand. 
OmegaCodex	040	Creature	Kazoo	8	1	Common	B		ML		1		X @A	Bonus: Rotate a friendly card to Active.
OmegaCodex	041	Creature	Renegade	8	2	Common								Skill: Bear Hug
OmegaCodex	042	Creature	Droven Jeb	8	2	Common	B	R MH	MH	P min	1	MS		Bonus: Reveal your hand. Move the least powerful Creature revealed this way to your score pile. 
OmegaCodex	043	Creature	Silent Master	8	3	Rare								Your opponent cannot play Actions.
OmegaCodex	044	Creature	Rat Smasher	8	2	Common	P		AL	V < 2			CS	Play: Move all Creatures worth 1 VP or less to their controller's score pile. 
OmegaCodex	045	Creature	Bash	8	1	Common								If this card loses a fight, your opponent discards their hand.
OmegaCodex	046	Creature	Greaser	9	2	Rare								Skill: Sneak 10
OmegaCodex	047	Creature	Roat	9	2	Rare								Skill: Bear Hug
OmegaCodex	048	Creature	Saboteur	9	1	Common	H		MH		1	ES		Bonus: If this card is Harvested, move a card from your hand to your opponent's score pile. 
OmegaCodex	049	Creature	Eager Martyr	9	1	Common								If this card leaves play, draw a card.
OmegaCodex	050	Creature	Jer the Spike	10	-1	Rare	H		EH		2	D		Bonus: If this card is Harvested, your opponent discards 2 cards. 
OmegaCodex	051	Creature	Gynormica	10	3	Rare	W	3x(MT > H)					END	Bonus: If this card wins a fight, draw 3 cards, then end your turn.
OmegaCodex	052	Relic	Elixir of Speed		3	Rare	B						#X > 1 ? THIS > MS : THIS > ES	Bonus:  Discard 2 cards from your hand. If you do, move this card to your score pile. Otherwise, move this card to your opponent's score pile.
OmegaCodex	053	Relic	Wromhole Generator		1	Rare	B		ER		1		X > MS; THIS > ES	Bonus: Move a Relic from your opponent's play area to your score pile. Move this card to your opponent's score pile.
